pathway_name,summation
TP53 binds the PTEN promoter,PTEN (phosphatase and tensin homolog deleted in chromosome 10) is a tumor suppressor gene that is deleted or mutated in a variety of human cancers. TP53 (p53) binds to the p53-binding site at the PTEN promoter level (Stambolic et al. 2001).
"PTEN gene transcription is stimulated by TP53, EGR1, PPARG, ATF2, MAF1, and inhibited by NR2E1, SALL4, MECOM, SNAI1, SNAI2, JUN","PTEN (phosphatase and tensin homolog deleted in chromosome 10) is a tumor suppressor gene that is deleted or mutated in a variety of human cancers. TP53 (p53) stimulates PTEN transcription (Stambolic et al. 2000, Singh et al. 2002). PTEN, acting as a negative regulator of PI3K/AKT signaling, affects cell survival, cell cycling, proliferation and migration. PTEN regulates TP53 stability by inhibiting AKT-mediated activation of TP53 ubiquitin ligase MDM2, and thus enhances TP53 transcriptional activity and its own transcriptional activation by TP53. Beside their cross-regulation, PTEN and TP53 can interact and cooperate to regulate survival or apoptotic phenomena (Stambolic et al. 2000, Singh et al. 2002, Nakanishi et al. 2014).<br>In response to UV induced DNA damage, PTEN transcription is stimulated by binding of the transcription factor EGR1 to the promoter region of PTEN (Virolle et al. 2001).<br>PTEN transcription is also stimulated by binding of the activated nuclear receptor PPARG (PPARgamma) to peroxisome proliferator response elements (PPREs) in the promoter of the PTEN gene (Patel et al. 2001), binding of the ATF2 transcription factor, activated by stress kinases of the p38 MAPK family, to ATF response elements in the PTEN gene promoter (Shen et al. 2006) and by the transcription factor MAF1 (Li et al. 2016).<br>NR2E1 (TLX) associated with transcription repressors binds the evolutionarily conserved TLX consensus site in the PTEN promoter. NR2E1 inhibits PTEN transcription by associating with various transcriptional repressors, probably in a cell type or tissue specific manner. PTEN transcription is inhibited when NR2E1 forms a complex with ATN1 (atrophin-1) (Zhang et al. 2006, Yokoyama et al. 2008), KDM1A (LSD1) histone methyltransferase containing CoREST complex (Yokoyama et al. 2008), or histone deacetylases HDAC3, HDAC5 or HDAC7 (Sun et al. 2007).<br>Binding of the transcriptional repressor SNAI1 (Snail1) to the PTEN promoter represses PTEN transcription. SNAI1-mediated repression of PTEN transcription may require phosphorylation of SNAI1 on serine residue S246. Binding of SNAI1 to the PTEN promoter increases in response to ionizing radiation and is implicated in SNAI1-mediated resistance to gamma-radiation induced apoptosis (Escriva et al. 2008). Binding of another Slug/Snail family member SNAI2 (SLUG) to the PTEN gene promoter also represses PTEN transcription (Uygur et al. 2015).<br>Binding of JUN to the AP-1 element in the PTEN gene promoter (Hettinger et al. 2007) inhibits PTEN transcription. JUN partner FOS is not needed for JUN-mediated downregulation of PTEN (Vasudevan et al. 2007).<br>Binding of the transcription factor SALL4 to the PTEN gene promoter (Yang et al. 2008) and SALL4-medaited recruitment of the transcriptional repressor complex NuRD (Lu et al. 2009, Gao et al. 2013), containing histone deacetylases HDAC1 and HDAC2, inhibits the PTEN gene transcription. SALL4-mediated recruitment of DNA methyltransferases (DNMTs) is also implicated in transcriptional repression of PTEN (Yang et al. 2012).<br>Binding of the transcription factor MECOM (EVI1) to the PTEN gene promoter and MECOM-mediated recruitment of polycomb repressor complexes containing BMI1 (supposedly PRC1.4), and EZH2 (PRC2) leads to repression of PTEN transcription (Song et al. 2009, Yoshimi et al. 2011)."
TP53 family members bind PPP1R13B or TP53BP2,"TP53 (p53) forms a complex with PPP1R13B (ASPP1) or TP53BP2 (ASPP2). This interaction involves the DNA binding domain of TP53 and the C-terminus of ASSP proteins (Samuels-Lev et al. 2001, Patel et al. 2008). ASPP proteins can also form a complex with p53 family members TP63 (p63) and TP73 (p73) (Robinson et al. 2008, Patel et al. 2008). ASPP proteins enhance the binding of p53 family members to promoters of pro-apoptotic genes and promote their transcription, but do not affect the transcription of cell cycle regulators. ASPP proteins are frequently down-regulated in breast cancers that express wild-type TP53 (Samuels-Lev et al. 2001, Bergamaschi et al. 2004). "
p53-Dependent G1/S DNA damage checkpoint,"The arrest at G1/S checkpoint is mediated by the action of a widely known tumor suppressor protein, p53.  Loss of p53 functions, as a result of mutations in cancer prevent the G1/S checkpoint (Kuerbitz et al, 1992).  P53 is rapidly induced in response to damaged DNA.  A number of kinases, phosphatases, histone acetylases and ubiquitin-conjugating enzymes regulate the stability as well as transcriptional activity of p53 after DNA damage."
TP53 or TP63 binds the GSDME gene,"Gasdermin E (GSDME, also known as DFNA5) was identified as a direct target gene of the transcription factor p53 (Masuda Y et al. 2006). Increased expression of GSDME in a human hepatocellular carcinoma cell line (HepG2) treated with H2O2, UV (30 J/m2) or gamma rays (50 Gy) was p53‑dependent. A chromatin immunoprecipitation (ChIP) assay using HepG2 identified a potential p53‑binding site in intron 1 of the GSDME gene. A luciferase reporter gene assay using human non‑small cell lung carcinoma H1299 cells further confirmed that the site is the p53‑responsive sequence involved in the recruitment of TP53 (p53) to the GSDME gene. In addition, P63γ and p73β also upregulated GSDME in human breast cancer MCF7 cells treated with demethylating agent 5‑aza‑2'‑deoxycytidine (DAC), suggesting that the GSDME expression can be regulated by multiple members of the p53 family (Fujikane T et al. 2010)."
"GSDME expression mediated by TP53, TP63","Gasdermin E (GSDME, also known as DFNA5) was identified as a direct target gene of the transcription factor p53 (Masuda Y et al. 2006). Increased expression of GSDME in a human hepatocellular carcinoma cell line (HepG2) treated with H2O2, UV (30 J/m2) or gamma rays (50 Gy) was p53‑dependent. TP53 (p53) induced GSDME expression via a specific p53 binding site in intron 1 of the GSDME gene (Masuda Y et al. 2006). In addition, P63γ and p73β also upregulated GSDME in demethylating agent 5‑aza‑2'‑deoxycytidine (DAC)‑treated human breast cancer MCF7 cells, suggesting that the GSDME expression can be regulated by multiple members of the p53 family (Fujikane T et al. 2010)."
p53 positively regulates transcription of MIR34 microRNAs,"Transcription of microRNA MIR34A is directly induced by the tumor suppressor p53, which binds to the conserved p53 binding site located in the vicinity of the MIR34A transcription start (Chang et al. 2007, Raver-Shapira et al. 2007). Genomic loss of the chromosomal band 1p36, harboring the MIR34A gene, is a frequent event in pancreatic cancer, and MIR34A is considered to act as a tumor suppressor. Conserved p53 binding sites were also mapped to the promoter of clustered MIR34B and MIR34C genes, and the transcription of MIR34B and MIR34C microRNAs was shown to be positively regulated by p53 (He et al. 2007, Corney et al. 2007). The steps involved in processing of pri-microRNA into pre-microRNA have been omitted in this event - please refer to the diagram of Regulatory RNA Pathways for details."
TP53 stimulates PLAGL1 expression,Binding of TP53 (p53) to the p53 response element in the promoter of the PLAGL1 (ZAC1) gene stimulates PLAGL1 transcription (Rozenfeld-Granot et al. 2002). PLAGL1 is a zinc finger protein implicated in transcriptional regulation. PLAGL1 expression correlates with both cell cycle arrest and apoptosis (Spengler et al. 1997) and is frequently lost in cancer (Varrault et al. 1998). The mechanism of PLAGL1 action requires further elucidation. 
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"BTG2 is induced by TP53, leading to cessation of cellular proliferation (Rouault et al. 1996, Duriez et al. 2002). BTG2 binds to the CCR4-NOT complex and promotes mRNA deadenylation activity of this complex. Interaction between BTG2 and CCR4-NOT is needed for the antiproliferative activity of BTG2, but the underlying mechanism has not been elucidated (Rouault et al. 1998, Mauxion et al. 2008, Horiuchi et al. 2009, Doidge et al. 2012, Ezzeddine et al. 2012). Two polo-like kinases, PLK2 and PLK3, are direct transcriptional targets of TP53. TP53-mediated induction of PLK2 may be important for prevention of mitotic catastrophe after spindle damage (Burns et al. 2003). PLK2 is involved in the regulation of centrosome duplication through phosphorylation of centrosome-related proteins CENPJ (Chang et al. 2010) and NPM1 (Krause and Hoffmann 2010). PLK2 is frequently transcriptionally silenced through promoter methylation in B-cell malignancies (Syed et al. 2006). Induction of PLK3 transcription by TP53 (Jen and Cheung 2005) may be important for coordination of M phase events through PLK3-mediated nuclear accumulation of CDC25C (Bahassi et al. 2004). RGCC is induced by TP53 and implicated in cell cycle regulation, possibly through its association with PLK1 (Saigusa et al. 2007). PLAGL1 (ZAC1) is a zinc finger protein directly transcriptionally induced by TP53 (Rozenfeld-Granot et al. 2002). PLAGL1 expression is frequently lost in cancer (Varrault et al. 1998) and PLAGL1 has been implicated in both cell cycle arrest and apoptosis (Spengler et al. 1997), but its mechanism of action remains unknown."
TP53 stimulates SCO2 gene transcription,"TP53 (p53) directly stimulates transcription of the SCO2 gene. SCO2, synthesis of cytochrome c oxidase 2, is a copper-binding assembly protein for the mitochondrial COX (cytochrome C oxidase) complex which enables aerobic respiration. When SCO2 levels are reduced, as occurs in TP53 deficient cells, the glycolysis becomes the main energy source for the cell. The TP53-mediated regulation of SCO2 and other mitochondrial biogenesis genes provides a possible explanation for the Warburg effect (Warburg 1956) observed in some cancer cells (Matoba et al. 2006)."
